feature,feature_group,mean_abs_shap_all_folds,mean_abs_shap_when_selected,mean_signed_shap_all_folds,mean_signed_shap_when_selected,selected_feature_frequency,top20_frequency,direction_consistency,positive_direction_fraction_when_selected,mean_rank_all_folds,folds_present,n_shap_folds,stability_level
main_morgan_r3_118,molecular_fingerprint,0.0001757050508085,0.0001757050508085,-5.71963523353705e-05,-5.71963523353705e-05,1.0,0.0,1.0,0.0,315.4,5,5,Low
Si/P ratio,elemental_composition,0.000175399814961,0.000175399814961,-5.305299098863887e-05,-5.305299098863887e-05,1.0,0.0,0.5,0.5,412.6,5,5,Low
main_morgan_r3_95,molecular_fingerprint,0.0001729873292226,0.0001729873292226,5.579439156525169e-05,5.579439156525169e-05,1.0,0.0,0.75,0.75,316.0,5,5,Low
main_morgan_r3_501,molecular_fingerprint,0.0001695911242164,0.0001695911242164,-1.619243985087514e-05,-1.619243985087514e-05,1.0,0.0,0.5,0.5,390.8,5,5,Low
main_morgan_r3_422,molecular_fingerprint,0.0001683449549197,0.0001683449549197,2.0237424248793367e-08,2.0237424248793367e-08,1.0,0.0,0.5,0.5,399.0,5,5,Low
main_morgan_r3_410,molecular_fingerprint,0.0001673812564599,0.0001673812564599,-1.6701616429312723e-05,-1.6701616429312723e-05,1.0,0.0,0.75,0.25,398.8,5,5,Low
main_co_similarity_sq,other,0.0001673646915016,0.0001673646915016,8.782332803251498e-06,8.782332803251498e-06,1.0,0.0,0.5,0.5,323.8,5,5,Low
main_morgan_r3_241,molecular_fingerprint,0.0001648236894348,0.0001648236894348,-3.529722444604191e-05,-3.529722444604191e-05,1.0,0.0,0.75,0.25,355.4,5,5,Low
co_BertzCT,other,0.0001643158166712,0.0001643158166712,-7.737744663028125e-05,-7.737744663028125e-05,1.0,0.0,0.75,0.25,414.8,5,5,Low
P_Si_loading_product,formulation_loading,0.0001638502898908,0.0001638502898908,-1.36508661974363e-05,-1.36508661974363e-05,1.0,0.0,0.5,0.5,315.4,5,5,Low
main_morgan_r3_415,molecular_fingerprint,0.0001618975218445,0.0001618975218445,-3.478262484621315e-05,-3.478262484621315e-05,1.0,0.0,0.5,0.5,400.8,5,5,Low
main_morgan_r3_98,molecular_fingerprint,0.0001614450648621,0.0001614450648621,-3.889106921204821e-05,-3.889106921204821e-05,1.0,0.0,0.5,0.5,369.8,5,5,Low
